Date,leaf_mar,leaf_apr,leaf_may,mwc30av,mwc60av,Station,Precip(totalmm),Airtemp(meanc),SolarRadiationMJm-2,RelativeHumidity(%),VaporPressureDeficit(Pa)
2000-06-09,1.0,1.0,1.0,0.13991666666666666,0.18552083333333333,CS01,0.0,19.8,30.15943,77.833333,472.6080474606697
2000-06-10,1.0,1.0,1.0,0.13264583333333332,0.17820833333333336,CS01,0.0,20.3,28.40257,78.208333,494.5791252832358
2000-06-11,1.0,1.0,1.0,0.12625,0.17174999999999999,CS01,0.0,21.4,27.44048,80.875,456.7534775888717
2000-06-12,1.0,1.0,1.0,0.12085416666666668,0.16579166666666667,CS01,0.0,22.3,23.96859,85.583333,358.2829591439129
2000-06-13,1.0,1.0,1.0,0.117125,0.16272916666666665,CS01,2.54,22.8,19.6601,87.25,333.07091690544405
2000-06-14,1.0,1.0,1.0,0.11729166666666668,0.16849999999999998,CS01,2.29,23.6,28.19342,83.833333,459.4884906250371
2000-06-15,1.0,1.0,1.0,0.12652083333333333,0.17825,CS01,4.83,24.2,25.26532,89.666667,290.64899437645977
2000-06-16,1.0,1.0,1.0,0.12316666666666667,0.16758333333333333,CS01,8.89,22.5,15.68625,96.041667,100.68590809147366
2000-06-17,1.0,1.0,1.0,0.13260416666666666,0.17370833333333335,CS01,0.76,22.3,13.76207,97.208333,73.9175508711277
2000-06-18,1.0,1.0,1.0,0.1303125,0.16491666666666666,CS01,1.52,22.8,22.1699,90.541667,268.0978224684232
2000-06-19,1.0,1.0,1.0,0.16412500000000002,0.19397916666666665,CS01,8.13,23.4,14.55684,96.25,100.45292337662346
2000-06-20,1.0,1.0,1.0,0.15391666666666665,0.17877083333333332,CS01,2.03,22.5,15.43527,97.208333,75.37500925846565
2000-06-21,1.0,1.0,1.0,0.1447291666666667,0.16933333333333334,CS01,1.27,24.5,22.63003,89.458333,314.29585419268767
2000-06-22,1.0,1.0,1.0,0.14722916666666666,0.17122916666666665,CS01,8.89,22.5,15.4771,95.125,127.05962720105114
2000-06-23,1.0,1.0,1.0,0.142625,0.1685833333333333,CS01,0.0,21.1,30.28492,83.458333,392.8212425850741
2000-06-24,1.0,1.0,1.0,0.13285416666666666,0.161375,CS01,0.0,22.0,28.69538,83.041667,421.0652810519207
2000-06-25,1.0,1.0,1.0,0.12785416666666666,0.15708333333333332,CS01,0.25,19.7,12.67449,96.333333,88.6772011019687
2000-06-26,1.0,1.0,1.0,0.12435416666666665,0.154375,CS01,0.0,22.5,21.87709,88.666667,302.5701696626431
2000-06-27,1.0,1.0,1.0,0.1236875,0.15525,CS01,2.79,21.4,17.73592,93.708333,159.60524321661893
2000-06-28,1.0,1.0,1.0,0.12420833333333334,0.15437499999999998,CS01,6.1,23.1,13.26011,96.791667,85.92338255486283
2000-06-29,1.0,1.0,1.0,0.15758333333333333,0.20045833333333335,CS01,14.73,22.0,11.75423,97.375,63.520058664954966
2000-06-30,1.0,1.0,1.0,0.16302083333333334,0.19483333333333333,CS01,0.0,18.7,25.97643,86.958333,284.3420912995068
2000-07-01,1.0,1.0,1.0,0.14747916666666666,0.176125,CS01,0.0,20.9,29.90845,81.5,426.19989018404885
2000-07-02,1.0,1.0,1.0,0.1365208333333333,0.1653125,CS01,0.0,20.9,25.39081,85.791667,343.00806492808886
2000-07-03,1.0,1.0,1.0,0.12827083333333333,0.15764583333333335,CS01,0.0,22.8,24.55421,86.833333,347.6846659909523
2000-07-04,1.0,1.0,1.0,0.1226875,0.15195833333333336,CS01,0.0,22.8,22.75552,89.75,277.51137799442915
2000-07-05,1.0,1.0,1.0,0.11927083333333333,0.14835416666666668,CS01,0.0,23.7,20.0784,86.75,380.0306195965416
2000-07-06,1.0,1.0,1.0,0.11641666666666667,0.14683333333333332,CS01,3.05,23.9,20.95683,91.416667,245.6773641303162
2000-07-07,1.0,1.0,1.0,0.1119375,0.14210416666666667,CS01,0.0,23.9,28.69538,83.125,503.390984210526
2000-07-08,1.0,1.0,1.0,0.10708333333333334,0.1375625,CS01,0.0,23.6,24.6797,84.5,440.1755485207101
2000-07-09,1.0,1.0,1.0,0.10314583333333333,0.13416666666666666,CS01,0.0,24.2,25.098,86.125,407.96661291727145
2000-07-10,1.0,1.0,1.0,0.0995625,0.1308125,CS01,0.0,25.0,26.72937,82.791667,506.1605457317814
2000-07-11,1.0,1.0,1.0,0.10049999999999999,0.1333125,CS01,9.65,24.2,22.42088,90.75,270.5348977961435
2000-07-12,1.0,1.0,1.0,0.13552083333333334,0.16849999999999998,CS01,5.33,24.7,15.01697,95.583333,124.4290986652569
2000-07-13,1.0,1.0,1.0,0.12160416666666668,0.14829166666666665,CS01,0.0,23.6,21.79343,95.25,136.467958792651
2000-07-14,1.0,1.0,1.0,0.11375000000000002,0.13858333333333334,CS01,0.0,23.9,26.10192,87.25,344.50573065902574
2000-07-15,1.0,1.0,1.0,0.10645833333333335,0.1313125,CS01,0.0,21.4,29.36466,79.208333,514.9574319379237
2000-07-16,1.0,1.0,1.0,0.100875,0.1266875,CS01,0.0,20.3,29.6993,78.5,496.5199044585987
2000-07-17,1.0,1.0,1.0,0.09697916666666666,0.1236875,CS01,0.0,20.9,28.36074,80.958333,457.4018076772422
2000-07-18,1.0,1.0,1.0,0.09437499999999999,0.1211875,CS01,0.0,22.5,23.8431,82.916667,438.6210183214562
2000-07-19,1.0,1.0,1.0,0.0950625,0.12625,CS01,4.32,23.9,18.73984,93.458333,177.48828569129424
2000-07-20,1.0,1.0,1.0,0.09575,0.12547916666666667,CS01,0.0,24.2,30.28492,74.75,703.4109531772575
2000-07-21,1.0,1.0,1.0,0.09281249999999999,0.1191875,CS01,0.0,23.7,28.40257,81.125,502.23786594761174
2000-07-22,1.0,1.0,1.0,0.09122916666666667,0.11666666666666667,CS01,0.0,23.4,19.15814,84.25,409.3909557863501
2000-07-23,1.0,1.0,1.0,0.09097916666666667,0.11527083333333332,CS01,0.0,21.4,9.91371,94.416667,134.8328079791134
